,text,label
0,Says the Annies List political group supports third-trimester abortions on demand.,0
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,1
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",1
3,Health care reform legislation is likely to mandate free sex change surgeries.,0
4,The economic turnaround started at the end of my term.,1
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,1
6,Jim Dunnam has not lived in the district he represents for years now.,0
7,"""I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.""",1
8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",1
9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,1
10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",1
11,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",1
12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",0
13,The economy bled $24 billion due to the government shutdown.,1
14,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,0
15,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",1
16,"""McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' """,1
17,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",0
18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",1
19,"Almost 100,000 people left Puerto Rico last year.",1
20,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,0
21,The United States has the highest corporate tax rate in the free world.,1
22,We just had the best year for the auto industry in America in history.,1
23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",1
24,Says Mitt Romney wants to get rid of Planned Parenthood.,0
25,I dont know who (Jonathan Gruber) is.,0
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,1
27,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,1
