,text,Type
21042," Of the 61 married minors who sought asylum in Norway in 2015, at least ten were under the country's sexual age of consent of 16 . The youngest was an 11-year-old girl . At least two of the girls under the age of 18 were expecting their second child . Most of the married minors came from Syria, Afghanistan or Iraq .",0
7107, The Panama Papers: How The 1%’s Greed Has Literally Been Killing Millions of People (VIDEO) One of the benefits of the Panama Papers is that we now have a clear picture of how corrupt corporations have been actively causing the death of millions of people all around the world . The law firm Mossack Fonseca has been enabling corporations to sell fuel and weapons being used to kill tens of thousands of Syrian civilians to continue doing business .,0
112,"White House optimistic Congress will avoid government shutdown. WASHINGTON (Reuters) - White House legislative director Marc Short said he expects Congress to pass a short-term spending bill to fund the federal government at least into January, he told CNBC in an interview on Monday, days before current funding expires on Friday.  “I don’t think anybody wants to see government shut down,” Short told CNBC. “We’re very optimistic that we’re going to find a resolution this week.” ",1
5765," American Medical Association urges protection for doctors, patients after U.S. travel ban . Last Friday, President Donald Trump put a four-month hold on allowing refugees into the United States and temporarily barred travelers from Syria and six other Muslim-majority countries . The AMA warns that the order creates barriers to healthcare by preventing international physicians from getting back into the country or obtaining visas .",1
3248,"Trump Gets HUMILIATED After His Latest Stupid-As-F*ck Attack On Obama (TWEETS). At this point, we have to wonder if the pressure of finding himself outside his bubble and confronted with the overwhelming realization that everyone hates him has gotten to Donald Trump. On Wednesday, The Donald woke up, ironed his Klan robes, gave Ivanka a deep, creepy good morning kiss, and sat down on his couch in yellow-stained underwear to whine about Obama on Twitter (at least, this seems how a typical Trump morning would go), and tweeted his latest, dumbest attack on the President.Trump s new daily ritual of childishly attacking President Obama on Twitter hasn t gone well for him, with his delusion rapidly progressing from I could have beaten Obama to I did beat Obama while the world mocked him at levels no normal human being could withstand. But this is Trump. He s special. Somehow he remains not immune but oblivious to the fact that outside his little fan club, he s just an orange-faced bigot with tiny hands who got absolutely trounced in the popular vote. Somehow, he is able to find the strength to keep his little thumbs moving faster than his brain",0
3665,"Trump's chief of staff Priebus to head back to DC after Saudi stop. RIYADH (Reuters) - White House chief of staff Reince Priebus will not be joining President Donald Trump for his full trip through the Middle East and Europe.  He is returning to Washington after doing only the Saudi Arabia portion of the journey, White House spokeswoman Sarah Sanders said. Sanders said Priebus had planned to return early, in particular because the White House is unveiling its full budget this week. Priebus traveled to Saudi Arabia with Trump on Air Force One on Friday. Trump’s White House is battling scandals related to the president’s firing of former FBI Director James Comey. Rumors of pending staff shake-ups have been rampant almost since Trump took office in January.   ",1
3959," The FBI Twitter account, which hadn't tweeted for more than a year, suddenly had some undeniably partisan tweets . Director James Comey has come under an extraordinary amount of criticism for his apparent combing of files to release everything, anything, that could be construed as anti-Clinton . The FBI, according to their own rules and according to federal law, is not allowed to influence elections .",0
1839," Alec Baldwin, 59, said he would love to run for office because he thinks people need something different . Baldwin has been playing Donald Trump on Saturday Night Live for a while now . The actor warned that if Trump were to be reelected, things would be worse if he wins again . Baldwin is a popular liberal who has long been vocal about politics, but he s no stranger to controversy .",0
19712," China offers support to Myanmar at U.N. amid Rohingya crisis . China supports efforts by the Myanmar government to protect its national security . More than 410,000 Rohingya Muslims fled to neighboring Bangladesh last month . Myanmar s government says about 400 people have been killed in the fighting . China and Myanmar have close economic and diplomatic ties .",1
13494,"Pope lands in Bangladesh, to meet Rohingya group on Friday. DHAKA (Reuters) - Pope Francis landed in Bangladesh on Thursday after a diplomatically sensitive trip to neighboring Myanmar, where he made no direct reference to the plight of Rohingya Muslims who have fled to Bangladesh in their hundreds of thousands. Bangladesh is hoping the Thursday-Saturday visit, during which the pope will meet a group of Rohingya in Dhaka, will help pressure the international community to find a lasting solution to the problem of the periodic influx of Rohingya from Buddhist-majority Myanmar. ",1
